Tweeter,Tweet ID,Tweet Time,Tweet Text,Topics
KamalaHarris,1346485848741715968,2021-01-05 15:56:57,"Georgians, today you can decide the fate of the Senate. If you run into any trouble making your voice heard at your polling place, be sure to call the voter protection hotline at (888) 730-5816.","call to action, voting"
JoeBiden,1347352319726215168,2021-01-08 1:20:00,"This team shares my belief that the middle class built this country and that unions built the middle class.

They will help us emerge from the most inequitable economic crisis in modern history by building an economy where every American is in on the deal. https://t.co/iorqb5Dxpj",economy
KamalaHarris,1339756801986875392,2020-12-18 2:18:07,"On the campaign, President-elect @JoeBiden and I proposed one of the most ambitious climate plans in history. This team will help make that plan a reality. 
https://t.co/MULIlpABb8","joe biden, climate change"
JoeBiden,1337895008029069312,2020-12-12 23:00:01,"Wear a mask. 
 
It's the easiest thing you can do to reduce COVID cases, hospitalizations, and deaths.

It's not a political statement — it's a patriotic act.","call to action, covid-19"
KamalaHarris,1340311930829987842,2020-12-19 15:04:00,"Nearly 3M students nationwide don’t have access to the internet at home—leaving many school districts this year scrambling to find ways to reach students. Pandemic or not, @JoeBiden and I are committed to expanding broadband access to every American.
https://t.co/8suAGrlFPB","education, joe biden, technology"
senatemajldr,1339702999837532161,2020-12-17 22:44:20,"Productive conversations remain underway on COVID-19 relief. But Congress must not slide into treating these talks like routine negotiations at our routine pace.

This could not be more urgent. The Senate’s going to keep working right through the weekend until we get an outcome. https://t.co/aXGTFunsPH","covid-19, economy"
KamalaHarris,1338580808358125578,2020-12-14 20:25:08,"Tonight @JoeBiden and I are hosting a call to thank our grassroots donors one more time for their support and for helping us make history. Sign up now to join us.
https://t.co/waIGU5fVak","joe biden, grassroots, gratitude"
JoeBiden,1337143047990099969,2020-12-10 21:12:00,We must prepare to meet the challenges of the future — not keep fighting the wars of the past. https://t.co/MI4uXHUyKG,preparation
JoeBiden,1342184517872791552,2020-12-24 19:05:00,To Linda — and everyone out there who’s hurting or struggling — keep the faith. https://t.co/pXDHmzvYQ8,encouragement
JoeBiden,1347298213422747649,2021-01-07 21:45:00,"No one can tell me that if it had been a group of Black Lives Matter protestors yesterday that they wouldn’t have been treated very differently than the mob that stormed the Capitol. 

We all know that’s true — and it’s unacceptable.","black lives matter, capitol insurrection, criticism"
JoeBiden,1347253347057733632,2021-01-07 18:46:43,It’s time for a Department of Justice that serves the interests of the people — not a presidency. Tune in as I introduce key nominees to lead the Department. https://t.co/8eIm9NvQS8,"nomination, department of justice"
senatemajldr,1305615661008408578,2020-09-14 21:13:25,The Trump administration has helped secured two historic peace agreements between Israel and Arab nations in just the last few days. The winds of change are blowing and the Middle East is changing for the better. My full statement: https://t.co/FDbUKWrCpN,"trump administration, hope, middle east"
senatemajldr,1329882406602616835,2020-11-20 20:20:48,"Our country badly needs the kinds of targeted, urgent COVID relief that Republicans have been trying to pass for months — from job-saving PPP funding to vaccine distribution. 

My full statement: https://t.co/ybJ2OJSYf9","covid-19, republicans, vaccine, economy, economic relief"
senatemajldr,1305660009624240132,2020-09-15 0:09:38,"The framers designed the Senate to be the country’s firewall against bad ideas and radical change. If Democrats are afraid their bad ideas could never meet the bar, it’s their proposals that need to be scrapped, not our country’s checks and balances.","democrats, criticism"
KamalaHarris,1339621751156830208,2020-12-17 17:21:29,Our democracy is stronger than any one man or woman. It is about the people—and the people spoke.,"democracy, voting"
KamalaHarris,1338246992389156868,2020-12-13 22:18:41,"To thank every single one of you who helped us win this battle for the soul of the nation, @JoeBiden and I are hosting a virtual Grassroots Donor Thank You call tomorrow—and we’ll be answering a few questions from those who attend. RSVP now. 
https://t.co/IrIoFmjOfm","joe biden, grassroots, gratitude"
JoeBiden,1336742970435891200,2020-12-09 18:42:14,"Throughout his lifetime of dedicated service, General Austin has demonstrated exemplary leadership, character, and command. Tune in as I introduce my nominee for Secretary of Defense. https://t.co/cyy5nhtp3b","nomination, military, leadership"
KamalaHarris,1340788114185437188,2020-12-20 22:36:11,".@BidenInaugural will look a little different in January than in years past, but @JoeBiden and I can’t wait for you and your family to join our virtual celebrations.
https://t.co/Qmf0aS9GIL","joe biden, inauguration"
KamalaHarris,1341229898275442688,2020-12-22 3:51:41,Everything that was at stake in November is at stake in the Georgia Senate runoffs on January 5. https://t.co/t9xGdcFVAK,senate runoff election
senatemajldr,1315315247675330560,2020-10-11 15:36:07,"The far left has been threatening our basic institutions of government since long before this Supreme Court vacancy. When today’s Democrats lose one election or one vote on the Senate floor, they start threatening to tear up the rulebook. https://t.co/CT3rnShGZD","far left, democrats, supreme court"
KamalaHarris,1344021096220119040,2020-12-29 20:42:54,The Biden-Harris administration is committed to getting the pandemic under control as the toll of the pandemic continues to mount. Tune in now as @JoeBiden speaks to the ongoing crisis. https://t.co/ioSxAccVEj,"joe biden, covid-19"
senatemajldr,1328452760677851142,2020-11-16 21:39:54,"The Trump Administration has made huge strides in the Middle East: taking out terrorist leaders, brokering historic deals, &amp; moving US forces into support roles as Afghans lead the fight for their country.

Premature retreat would put this record at risk. https://t.co/egVaLJSIlS","trump administration, middle east, military"
JoeBiden,1341255898711220225,2020-12-22 5:35:00,"I applaud this relief package, but our work is far from over. Starting in the new year, Congress will need to immediately get to work on support for our COVID-19 plan.

My message to everyone out there struggling right now: help is on the way. https://t.co/ktET5loEnm","hope, economic relief, covid-19, assurance"
JoeBiden,1344366394641563649,2020-12-30 19:35:00,"We can save 60,000-100,000 lives in the weeks and months ahead if we step up together.

Wear a mask. Stay socially distanced. Avoid large indoor gatherings.

Each of us has a duty to do what we can to protect ourselves, our families, and our fellow Americans.","unity, covid-19, call to action"
JoeBiden,1339685802956255242,2020-12-17 21:36:00,"I’m prepared to sign a COVID relief package on day one, but I need @ReverendWarnock and @ossoff in the Senate to get it done.

Georgia — Make your plan to vote early today: https://t.co/RIJ1L4juwB https://t.co/G9lRQQawH7","voting, senate runoff election, economic relief, covid-19"
JoeBiden,1340747549028851717,2020-12-20 19:55:00,"In one month, we begin to heal.",health
KamalaHarris,1343937383134334979,2020-12-29 15:10:15,"Only one week left until the Georgia Senate runoffs. That’s one week to phone bank, turn in your absentee ballot, and spread the word about @ReverendWarnock and Jon @Ossoff. Together we can flip the Senate and keep Georgia blue. https://t.co/ArdY9G4KoY","senate runoff election, unity, call to action"
senatemajldr,1313248059766255621,2020-10-05 22:41:51,"Democrats say they’ll try everything to stall Judge Barrett. The latest excuse: Hybrid hearings with some virtual participation are suddenly bad. 

The Senate has held 150 of these hybrid hearings since May. Democrats have taken advantage of the tools. They’ve praised the format.","democrats, supreme court"
senatemajldr,1318647847546474501,2020-10-20 20:18:40,"The Paycheck Protection Program has made a critical difference for millions of working families. Today, I’m having the Senate vote on a new second round for the hardest-hit small businesses.
 
Democrats say they support the PPP. Let’s see how they vote.","voting, democrats, paycheck protection program"
