Tweeter,Tweet ID,Tweet Time,Tweet Text,Topics,
JoeBiden,1348004115121647622,2021-01-09 20:30:00,"Our president is not above the law.

Justice serves the people — it doesn’t protect the powerful.","''",
senatemajldr,1328859637056204801,2020-11-18 0:36:41,"Republicans have tried for weeks to pass another targeted rescue package. It would send hundreds of billions of dollars to schools, unemployment aid, another round of the job-saving PPP, and healthcare.
 
Democrats repeatedly blocked it all. Let's hope they let us make law soon.",""Republicans" "Democrats"",
JoeBiden,1349068634413436929,2021-01-12 19:00:01,"It’s long past time to raise the minimum wage, so hardworking people earn at least $15 an hour.

I hope that Democratic control of the House and Senate will ensure prompt action to get it done.",""Minimum Wage"",
JoeBiden,1346963759156195332,2021-01-06 23:36:00,"Through war and strife, America has endured much. And we will endure here and prevail now. https://t.co/OvNOV0ogWG","""Assurance"" ""Perseverance""",
KamalaHarris,1342871544683327488,2020-12-26 16:35:00,"Our Kwanzaa celebrations are one of my favorite childhood memories. The whole family would gather around across multiple generations and we’d tell stories and light the candles.

Whether you’re celebrating this year with those you live with or over Zoom, happy Kwanzaa! https://t.co/21bzGHZpYe",""Holiday"",
senatemajldr,1305560825466359808,2020-09-14 17:35:31,"All military families serve alongside their loved ones in uniform. The new Gold Star Families Memorial in Owensboro, KY commemorates the sacrifices these patriots made in the name of freedom. The nation can never repay our debt. But we can keep these families in our prayers. https://t.co/5bZkjgwqlB",""Commemoration"",
JoeBiden,1345792290372116480,2021-01-03 18:01:00,"Here’s my promise to you: I’ll be a president for all Americans. Whether you voted for me or not, I’ll wake up every single morning and work to make your life better.",""Hope" "Assurance"",
senatemajldr,1328787118173413377,2020-11-17 19:48:31,"Another Democrat demand that’s blocked bipartisan aid: The fixation on a massive slush fund for state &amp; city govt's, unlinked from COVID need.

Some states are taking in more tax revenue this fall than they did before the pandemic.

It's struggling families who need urgent help.",""Democrats" "Criticism"",
JoeBiden,1344424275818786816,2020-12-30 23:25:00,"With just over 20 days until Inauguration Day, there’s never been a better time to stock up on @BidenInaugural gear. Head to https://t.co/j1ZK7kyMj6 to find everything you need.",""Inauguration" "Biden Inaugural Merch"",
JoeBiden,1341931601060454401,2020-12-24 2:20:00,"In the 21st century, twelve years of school isn’t enough. That’s why under the Biden-Harris plan, community college will be free — and public colleges and universities will be tuition-free for families earning less than $125,000 a year.","Education",
senatemajldr,1306314676402376705,2020-09-16 19:31:03,"It’s been less than a year since my bill with Senator Kaine and @SenToddYoung raised the nationwide age for tobacco purchases to 21. We just learned there’s already been a major decline in e-cigarette use among young people. Huge bipartisan progress for the health of our kids. https://t.co/yosvf0SA56",""Health"",
JoeBiden,1337151353039314944,2020-12-10 21:45:00,"As Hanukkah begins, Jill and I send our warmest wishes to everyone celebrating in the United States and around the world. We know things look a little different this year, but we hope these next eight nights are filled with family, love, and light. Chag Sameach!",""Holiday"",
KamalaHarris,1349006983379214338,2021-01-12 14:55:02,"We’ve seen the devastation the climate crisis has had on our country: homes and neighborhoods in ashes, some of the most active hurricane seasons on record and historic flooding in the Midwest.

Starting on January 20th, we'll tackle this crisis head-on here and around the world.",""Climate Change"",
KamalaHarris,1338642203246096384,2020-12-15 0:29:06,It’s official. Tune in as President-elect @JoeBiden addresses the nation on the electoral college vote certification and how we’ll lead our country forward. https://t.co/WrShcWLgbp,""Presidential Election"",
KamalaHarris,1338547416103071744,2020-12-14 18:12:27,"Today marks 8 years since 20 first-graders and 6 educators were murdered at Sandy Hook Elementary School.

To honor the lives lost in this terrible tragedy, it’s past time we implement common-sense gun safety reforms to keep our children safe. https://t.co/YmsIWM6dDG",""Mourning" "Gun Control"",
senatemajldr,1326261032193495041,2020-11-10 20:30:45,"American workers are rebuilding our economy stronger &amp; faster than anyone predicted.

Experts predicted double-digit unemployment into 2021. Instead, it’s down to 6.9%. More than 630k new jobs just last month.

Too many are still hurting. Our work isn't done. But what progress.",""Economy" "Unemployment"",
JoeBiden,1347298213422747649,2021-01-07 21:45:00,"No one can tell me that if it had been a group of Black Lives Matter protestors yesterday that they wouldn’t have been treated very differently than the mob that stormed the Capitol.

We all know that’s true — and it’s unacceptable.",""Minority Issues"" ""Criticism"" ""Capitol Insurrection"",
JoeBiden,1337117882367442944,2020-12-10 19:32:00,"The Georgia Senate runoffs are crucial — it’s why I’ll be traveling there next Tuesday. But we all need to do our part to make sure we win these races. If you’re able, chip in to our new Flip Georgia Fund to help us take back the Senate. https://t.co/BHsyS0Y41i",""Senate Runoff Election" "Call to Action"",
senatemajldr,1318647847546474501,2020-10-20 20:18:40,"The Paycheck Protection Program has made a critical difference for millions of working families. Today, I’m having the Senate vote on a new second round for the hardest-hit small businesses.

Democrats say they support the PPP. Let’s see how they vote.",""Paycheck Protection Program" "Democrats"",
JoeBiden,1345896476623265792,2021-01-04 0:55:00,The Senate swearing-in ceremony was always one of my favorite parts of the job as Vice President. Congratulations to the newly minted members of the 117th Congress. I look forward to working alongside you to get this virus under control and build back better.,""Congratulations"",
JoeBiden,1346929533774159876,2021-01-06 21:20:00,I call on President Trump to go on national television now to fulfill his oath and defend the Constitution by demanding an end to this siege.,"""Confrontation"" ""President Trump""",
JoeBiden,1338910444233363458,2020-12-15 18:15:00,"Health care is personal to me — and I’ll always fight to ensure folks like Xiomara are protected and have access to the care they need.

Don’t miss your chance to get covered for 2021, head to https://t.co/3CYKhP8ZoR before midnight to pick a plan that works best for you. https://t.co/DCL3imZHbV",""Health"",
KamalaHarris,1342490547060154371,2020-12-25 15:21:03,"Our traditions may look a little different this year but the love we share remains the same. From our family to yours, have a safe and very merry Christmas. https://t.co/RSjkHwvcU2",""Holiday"",
senatemajldr,1315315247675330560,2020-10-11 15:36:07,"The far left has been threatening our basic institutions of government since long before this Supreme Court vacancy. When today’s Democrats lose one election or one vote on the Senate floor, they start threatening to tear up the rulebook. https://t.co/CT3rnShGZD",""Far Left"",
JoeBiden,1349090628790067200,2021-01-12 20:27:25,My number one priority is getting people vaccinated as quickly as we can to get our country back on track. https://t.co/JLY1DntIlR,"""Vaccine"" ""COVID-19""",
