Tweeter,Tweet ID,Tweet Time,Tweet Text,Topics
KamalaHarris,1344292212771860485,2020-12-30 14:40:13,"Georgia—@JoeBiden and I are headed your way soon ahead of the Senate runoffs. It is within our power to change the course of our country’s history but we need you to get out and vote.

What we did in November, we can do it again.",“Senate Runoff Election”
KamalaHarris,1338275769596964866,2020-12-14 0:13:02,We’ll get through this—together. https://t.co/JEgDngNxPz,"“Unity"""
JoeBiden,1349375651883724804,2021-01-13 15:20:00,"Ambassador Samantha Power is a world-renowned voice of conscience and moral clarity—challenging and rallying the international community to stand up for the dignity and humanity of all people. As USAID Administrator, she'll be a powerful force for principled American engagement. https://t.co/jwseGEsb8c","""Acknowledgement"" ""Nomination"""
JoeBiden,1339254199326887937,2020-12-16 17:00:57,Mayor @PeteButtigieg is a barrier-breaking public servant with a track record of forward-thinking leadership. Tune in as I nominate him to be our next Secretary of Transportation. https://t.co/rhpetks9UW,“Nomination” “Presidential Cabinet”
JoeBiden,1337117882367442944,2020-12-10 19:32:00,"The Georgia Senate runoffs are crucial — it’s why I’ll be traveling there next Tuesday. But we all need to do our part to make sure we win these races. If you’re able, chip in to our new Flip Georgia Fund to help us take back the Senate. https://t.co/BHsyS0Y41i",“Senate Runoff Election” “Call to Action”
senatemajldr,1320924145983627264,2020-10-27 3:03:52,Tune in now: I’m joining @ShannonBream on @FoxNews to discuss the confirmation of Justice Amy Coney Barrett to the Supreme Court of the United States.,“”
senatemajldr,1326509804479795202,2020-11-11 12:59:17,"Today, we reflect on the heroism of America’s veterans and those currently serving in uniform.

From the Greatest Generation to our 21st-century fighting force, we owe all veterans our gratitude and respect.

Happy Veterans Day. https://t.co/TL2cI46ESm",“Holiday” “Gratitude”
senatemajldr,1340005642006892546,2020-12-18 18:46:55,"Just received the safe, effective COVID vaccine following continuity-of-government protocols. Vaccines are how we beat this virus.

Now back to continue fighting for a rescue package including a lot more money for distribution so more Americans can receive it as fast as possible. https://t.co/kSBhI3EzzM",“COVID-19” “Vaccine” “Economic Relief”
JoeBiden,1346271447346507788,2021-01-05 1:45:00,"In America, politicians can’t assert, take, or seize power.

It has to be given by the American people.

We can’t ever give that up. The will of the people must always prevail.",“”
JoeBiden,1347366160807981056,2021-01-08 2:15:00,"For the past four years, President Trump has unleashed an all-out assault on the institutions of our democracy.

Yesterday was but the culmination of that unrelenting attack. https://t.co/Mcli7mzENu","""Criticism"" ""President Trump"""
senatemajldr,1304187017731940352,2020-09-10 22:36:30,"ICYMI I joined @DanaPerino to discuss Speaker Pelosi &amp; Leader Schumer's continued efforts to block coronavirus relief funding for Americans.

Every Senator who voted against relief needs to answer what in the proposal they actually disagreed with. Kids? Jobs? Healthcare? https://t.co/iuGc7fN01A",“”
senatemajldr,1346993833939238914,2021-01-07 1:35:30,"The United States and the Senate will not be intimidated.

We are back at our posts. We will discharge our duty under the Constitution for our nation.

And we are going to do it tonight. https://t.co/YH0PtXKDzt",“”
senatemajldr,1338849288894509059,2020-12-15 14:11:59,Attorney General Barr is one of the most dedicated and capable public servants I have ever seen in action. He has helped keep America safe from criminals and terrorists and advanced the bedrock American value of equal justice under law. My full statement: https://t.co/j5p7md8zy4,“Acknowledgement”
JoeBiden,1343320754478190593,2020-12-27 22:20:00,"From COVID-19 and the economy to climate change and racial justice — our nation is facing four historic crises at once. And come January, there will be no time to waste. That’s why my team and I are hard at work preparing to take action on day one.",“Assurance”
JoeBiden,1345063487957917696,2021-01-01 17:45:00,Let me be clear: The Biden-Harris Administration will spare no effort to make sure people are getting vaccinated. https://t.co/FfppocXufa,“Assurance” “Vaccine”
KamalaHarris,1338580808358125578,2020-12-14 20:25:08,"Tonight @JoeBiden and I are hosting a call to thank our grassroots donors one more time for their support and for helping us make history. Sign up now to join us.
https://t.co/waIGU5fVak",“”
