Tweeter,Tweet ID,Tweet Time,Tweet Text,Topics
JoeBiden,1348430675238678528,2021-01-11 0:45:00,"$600 is simply not enough when you have to choose between paying rent or putting food on the table.
 
We need $2,000 stimulus checks.","""Economy"" ""Stimulus Check"""
KamalaHarris,1341786918397198336,2020-12-23 16:45:05,The Biden-Harris administration will prioritize investing in our schools so every child in America has the knowledge and skills to thrive. Tune in as we introduce our Secretary of Education nominee. https://t.co/Vwk2kcslyi,"""Nomination"" ""Presidential Cabinet”"
JoeBiden,1348299813163474944,2021-01-10 16:05:00,"In 10 days, we move forward and rebuild — together.","""Unity"""
senatemajldr,1336737127426613251,2020-12-09 18:19:01,"Yesterday, Democrats rejected two more GOP aid proposals in the space of two hours.

I’ve proposed we set aside remaining sticking points and pass everything we agree on. They say “no.”

And they now admit they blocked aid all summer &amp; fall because there was an upcoming election.",“Criticism”
KamalaHarris,1341136817534464000,2020-12-21 21:41:49,"We will have our voices heard. We will not let people silence us. Georgia, what we did in November, we can do again. Go to https://t.co/FsQFse2eXb now to find your early voting location.",“Voting”
JoeBiden,1336853141418110983,2020-12-10 2:00:01,"I have worked closely with Secretary-designate Lloyd Austin. He is the definition of duty, honor, and country. I know that under his leadership, the Department of Defense will advance the security of the American people in ways that always honor our highest values and ideals. https://t.co/OSU6b9Ip0c","""Acknowledgement"" “Nomination” “Presidential Cabinet”"
senatemajldr,1312042678217998338,2020-10-02 14:52:05,"Just finished a great phone call with @POTUS. He’s in good spirits and we talked business — especially how impressed Senators are with the qualifications of Judge Barrett. Full steam ahead with the fair, thorough, timely process that the nominee, the Court, &amp; the country deserve.",“”
JoeBiden,1337564324022239233,2020-12-12 1:06:00,"There are just a few days left of Obamacare's open enrollment for 2021 coverage. Don't wait — visit https://t.co/3CYKhORo0h today to find an affordable, quality plan that works for you.",“Health” “Call to Action”
KamalaHarris,1341833254261972992,2020-12-23 19:49:12,"Georgians: this holiday weekend, be sure to virtually check in with your loved ones to see if they’ve voted in the Senate runoffs yet: https://t.co/FsQFse2eXb. https://t.co/iDe4Xi9keW",“Senate Runoff Election”
senatemajldr,1306247560852631559,2020-09-16 15:04:22,"Even Speaker Pelosi’s own House Democrats are sick of her blocking COVID-19 relief.

But she insists anything short of her multi-trillion wish list would make Democrats “a cheap date.” What a joke.

People are hurting. They need help. Not the Speaker's pointless political games.",“Democrats” “Ecnomic Relief”
