Tweeter,Tweet ID,Tweet Time,Tweet Text,Topics
JoeBiden,1349563892087869442,2021-01-14 03:48:00,"We’re in the teeth of this crisis, and we need to take immediate action to get the virus under control. That’s why tomorrow, I’ll be laying out my vaccination and economic rescue package to beat COVID-19 and build back better. https://t.co/YRzJ5nlkDm",
JoeBiden,1349556594237792256,2021-01-14 03:19:00,"Today, in a bipartisan vote, the House voted to impeach and hold President Trump accountable. Now, the process continues to the Senate—and I hope they’ll deal with their Constitutional responsibilities on impeachment while also working on the other urgent business of this nation.",
JoeBiden,1349375651883724804,2021-01-13 15:20:00,"Ambassador Samantha Power is a world-renowned voice of conscience and moral clarity—challenging and rallying the international community to stand up for the dignity and humanity of all people. As USAID Administrator, she'll be a powerful force for principled American engagement. https://t.co/jwseGEsb8c",
JoeBiden,1349090628790067200,2021-01-12 20:27:25,My number one priority is getting people vaccinated as quickly as we can to get our country back on track. https://t.co/JLY1DntIlR,
JoeBiden,1349068634413436929,2021-01-12 19:00:01,"It’s long past time to raise the minimum wage, so hardworking people earn at least $15 an hour. 
 
I hope that Democratic control of the House and Senate will ensure prompt action to get it done.",
JoeBiden,1348994390690246657,2021-01-12 14:05:00,"I urge every American to:

- Wear a mask
- Stay socially distanced
- Avoid large indoor gatherings

We can save countless lives if we step up together.",
JoeBiden,1348800612742402048,2021-01-12 01:15:00,"Getting America vaccinated will be one of the greatest operational challenges we’ve ever faced, but my administration will spare no effort to get it done.

We’re going to ensure the vaccine is distributed quickly, equitably, and free of charge to every American.",
JoeBiden,1348763039160532992,2021-01-11 22:45:41,"Folks, I just received the second dose of my COVID-19 vaccine — and just like the first dose, it was safe, quick, and painless. 

I urge everyone to get vaccinated once it’s your turn. Because only together can we save lives and beat this virus. https://t.co/w1m8gEh2iL",
JoeBiden,1348732665005023232,2021-01-11 20:45:00,"The work of the next four years must be the restoration of democracy and the recovery of respect for the rule of law, and the renewal of a politics that’s about solving problems — not stoking the flames of hate and chaos.",
JoeBiden,1348636095458717696,2021-01-11 14:21:16,"I’m asking Ambassador Bill Burns to lead the Central Intelligence Agency because he’s dealt with many of the thorniest global challenges we face. As a legendary career diplomat, he approached complex issues with honesty, integrity and skill. That’s exactly how he’ll lead the CIA. https://t.co/ypnuH016BV",
JoeBiden,1348430675238678528,2021-01-11 00:45:00,"$600 is simply not enough when you have to choose between paying rent or putting food on the table.
 
We need $2,000 stimulus checks.",
JoeBiden,1348351402624524288,2021-01-10 19:30:00,"I am proud that we have finished naming the members of our Cabinet.
 
It’s a Cabinet that looks like America and taps into the full range of talents we have in our nation. https://t.co/DTX53k7sUx",
JoeBiden,1348299813163474944,2021-01-10 16:05:00,"In 10 days, we move forward and rebuild — together.",
JoeBiden,1348064513170567168,2021-01-10 00:30:00,The bottom line is we need to provide immediate relief for working families and businesses. Now. https://t.co/syaHTaX3O4,
JoeBiden,1348004115121647622,2021-01-09 20:30:00,"Our president is not above the law. 

Justice serves the people — it doesn’t protect the powerful.",
JoeBiden,1347947491300401152,2021-01-09 16:45:00,"From the most inequitable economic and jobs crisis in modern history, my jobs team will help us build back better with an economy that works for all Americans. Let’s get to work. https://t.co/hx7cyOHF87",
JoeBiden,1347704641136463872,2021-01-09 00:40:00,My administration will get right to work distributing emergency aid swiftly and equitably. Our focus will be on the small businesses on Main Street — not those that are wealthy and well-connected. https://t.co/FlD8voUpcP,
JoeBiden,1347665885666938886,2021-01-08 22:06:00,".@GabbyGiffords — Your perseverance and immeasurable courage continue to inspire me and millions of others. I pledge to continue to work with you — and with survivors, families, and advocates across the country — to defeat the NRA and end our epidemic of gun violence. https://t.co/zN5J5YjXUM",
JoeBiden,1347649779921203201,2021-01-08 21:02:00,"Ten years ago today, in Tucson, Arizona, six innocent lives were taken away by a senseless and brutal act of violence. Jill and I remember those we lost and everyone whose lives were irreversibly changed that day — including my friend Congresswoman @GabbyGiffords.",
JoeBiden,1347618371135705090,2021-01-08 18:57:11,We need to build a new American economy where everyone enjoys a fair return for their work and an equal chance to get ahead. Tune in as I introduce members of the team that will get it done. https://t.co/PAOu57i9j5,
JoeBiden,1347571667598503937,2021-01-08 15:51:36,"We need to restore the honor, the integrity, and the independence of the Department of Justice in this nation — and this is the group that will get it done. https://t.co/Yfuys8i73V",
JoeBiden,1347377487374741508,2021-01-08 03:00:00,I’m proud to nominate Judge Merrick Garland for Attorney General of the United States. https://t.co/xBR5PAN2wH,
JoeBiden,1347366160807981056,2021-01-08 02:15:00,"For the past four years, President Trump has unleashed an all-out assault on the institutions of our democracy.

Yesterday was but the culmination of that unrelenting attack. https://t.co/Mcli7mzENu",
JoeBiden,1347352319726215168,2021-01-08 01:20:00,"This team shares my belief that the middle class built this country and that unions built the middle class.

They will help us emerge from the most inequitable economic crisis in modern history by building an economy where every American is in on the deal. https://t.co/iorqb5Dxpj",
JoeBiden,1347298213422747649,2021-01-07 21:45:00,"No one can tell me that if it had been a group of Black Lives Matter protestors yesterday that they wouldn’t have been treated very differently than the mob that stormed the Capitol. 

We all know that’s true — and it’s unacceptable.",
JoeBiden,1347287643776667648,2021-01-07 21:03:00,Merrick Garland will serve as the Attorney General of the United States — not as my personal lawyer.,
JoeBiden,1347276822078218241,2021-01-07 20:20:00,"What we witnessed yesterday was not dissent — it was disorder. 

They weren’t protestors — they were rioters, insurrectionists, and domestic terrorists.

I wish we could say we couldn’t see it coming, but that isn’t true. We could.",
JoeBiden,1347253347057733632,2021-01-07 18:46:43,It’s time for a Department of Justice that serves the interests of the people — not a presidency. Tune in as I introduce key nominees to lead the Department. https://t.co/8eIm9NvQS8,
JoeBiden,1347200066646376448,2021-01-07 15:15:00,"Our nominees for the Justice Department will restore the independence of the Department, so it serves the interests of the people—not a presidency. They’ll rebuild public trust in the rule of law and work to ensure a more fair and equitable justice system. https://t.co/MSCRAwsmaH",
JoeBiden,1346985653658116098,2021-01-07 01:03:00,"Today is a reminder, a painful one, that democracy is fragile. To preserve it requires people of good will, leaders with the courage to stand up, who are devoted not to pursuit of power and personal interest at any cost, but to the common good.",
JoeBiden,1346963759156195332,2021-01-06 23:36:00,"Through war and strife, America has endured much. And we will endure here and prevail now. https://t.co/OvNOV0ogWG",
JoeBiden,1346938341791387651,2021-01-06 21:55:00,"Our way is plain: It is the way of democracy — of lawfulness, and of respect — respect for each other, and for our nation.",
JoeBiden,1346932050746630149,2021-01-06 21:30:00,America is so much better than what we’re seeing today.,
JoeBiden,1346929533774159876,2021-01-06 21:20:00,I call on President Trump to go on national television now to fulfill his oath and defend the Constitution by demanding an end to this siege.,
JoeBiden,1346928275470299142,2021-01-06 21:15:00,"Let me be very clear: the scenes of chaos at the Capitol do not represent who we are. What we are seeing is a small number of extremists dedicated to lawlessness. This is not dissent, it's disorder. It borders on sedition, and it must end. Now.",
JoeBiden,1346891030055022592,2021-01-06 18:47:00,"I called Reverend Warnock and Jon Ossoff this morning to congratulate them on their hard-fought campaigns. Georgia voters delivered a resounding message yesterday: they want action on the crises we face and they want it right now. Together, we'll get it done. https://t.co/TPBEbgOwzH",
